ID,Category,Title,Location,guests,Review_Count,Overall Rate,Price (Night),Cleanliness_rate,Accuracy_rate,Communication_rate,Location_rate,Check-in_rate,Value_rate,amenities_count,url
1016.0,Barns,"Cosy, well-equipped Studio in Oak-Beamed Stable",Cranbrook Kent United Kingdom,2,12,5.0,96,4.9,4.9,4.8,5.0,4.8,4.9,41.0,https://www.airbnb.co.uk/rooms/51918266?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-11-15&check_out=2021-11-22&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1017.0,Barns,17th Century Self-contained Barn Near Godalming,Milford England United Kingdom,2,208,4.97,72,4.9,5.0,5.0,4.9,5.0,4.9,38.0,https://www.airbnb.co.uk/rooms/20693871?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1018.0,Barns,Entertain Celebrate Relax in a Luxury Period Property Barn in Windsor Taplow Maidenhead,Taplow England United Kingdom,16,19,4.84,"1,575",,,,,,,,
1019.0,Barns,Delightful small converted barn,Warfield England United Kingdom,4,490,4.90,59,5.0,4.9,5.0,4.9,5.0,4.8,36.0,https://www.airbnb.co.uk/rooms/18506683?category_tag=Tag%3A8159&adults=1&children=0&infants=0&check_in=2021-12-19&check_out=2021-12-26&previous_page_section_name=1000&federated_search_id=9d7ded79-5ae5-44f0-953c-19b5828dfe5e
1020.0,Chalets,The Woodsman's Cabin in rural Staffordshire,Woodseaves England United Kingdom,2,11,5.0,168,4.7,4.9,4.9,5.0,5.0,4.8,27.0,https://www.airbnb.co.uk/rooms/45689836?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-11-28&check_out=2021-12-05&previous_page_section_name=1000&federated_search_id=8f4e2929-cd6b-4fa8-8aeb-60890249a5f8
1021.0,Chalets,"The Deer Leap, Lakeside, Woodland Lodge.",Inkberrow England United Kingdom,4,245,4.99,100,5.0,5.0,5.0,5.0,5.0,5.0,41.0,https://www.airbnb.co.uk/rooms/32187171?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=8f4e2929-cd6b-4fa8-8aeb-60890249a5f8
1022.0,Chalets,The Retreat,Warwickshire England United Kingdom,2,184,5.0,84,5.0,5.0,5.0,5.0,5.0,5.0,45.0,https://www.airbnb.co.uk/rooms/35143077?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-01&check_out=2022-01-08&previous_page_section_name=1000&federated_search_id=8f4e2929-cd6b-4fa8-8aeb-60890249a5f8
1023.0,Chalets,Idyllic Rustic Log Cabin with Log Burner & Hot Tub,Bewdley England United Kingdom,2,114,4.96,82,5.0,5.0,5.0,4.9,5.0,4.9,49.0,https://www.airbnb.co.uk/rooms/39853991?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=8f4e2929-cd6b-4fa8-8aeb-60890249a5f8
1024.0,Chalets,"Pinetree Lodge, romantic getaway in the Cotswolds",Mickleton England United Kingdom,2,40,5.0,122,5.0,5.0,5.0,5.0,5.0,5.0,37.0,https://www.airbnb.co.uk/rooms/48316192?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2021-12-12&check_out=2021-12-19&previous_page_section_name=1000&federated_search_id=8f4e2929-cd6b-4fa8-8aeb-60890249a5f8
1025.0,Chalets,Little Country Houses - Poppy's Pad,Mickleton England United Kingdom,4,154,4.90,131,4.8,4.9,5.0,4.9,4.9,4.7,16.0,https://www.airbnb.co.uk/rooms/20669368?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-07&check_out=2022-01-14&previous_page_section_name=1000&federated_search_id=8f4e2929-cd6b-4fa8-8aeb-60890249a5f8
1026.0,Chalets,Owl's Rest Reservoir Retreat (now with Hot-tub),Welford Northampton United Kingdom,4,360,4.96,111,5.0,5.0,4.9,5.0,4.9,4.9,35.0,https://www.airbnb.co.uk/rooms/6519317?category_tag=Tag%3A5348&adults=1&children=0&infants=0&check_in=2022-01-10&check_out=2022-01-17&previous_page_section_name=1000&federated_search_id=8f4e2929-cd6b-4fa8-8aeb-60890249a5f8
